        EngineRpm, Частота вращения двигателя
        FuelSystemPressure, Измеренное давление топлива
        FuelSystemPressureDelta, Расхождение между измеренным и номинальным давлением топлива
        Injector1Correction, Коррекция подачи топлива форсункой 1
        Injector2Correction, Коррекция подачи топлива форсункой 2
        Injector3Correction, Коррекция подачи топлива форсункой 3
        Injector4Correction, Коррекция подачи топлива форсункой 4
        CamshaftCrankshaftSync, Cинхронизация положения распределительного вала/коленчатого вала
        DieselPressureRegulatorRatio, ЦСО регулятора давления в топливной системе
        InjectionVolumeSetting, Затребованный объём впрыска топлива
        VoltageInjector1and4, Напряжение на инжекторах 1 и 4
        VoltageInjector2and3, Напряжение на инжекторах 2 и 3
        InjectorsVoltage, Напряжение на инжекторах
        MeasuredAirVolume, Измеренное потребление воздуха
        ExhaustCycleRatio, ЦСО электроклапана системы РВГ
        FuelRegulatorCurrent, Ток регулятора давления дизельного топлива
        InjectionAdvance, Опережение предварительного впрыска
        BasicInjectionAdvance, Базовое опережение впрыска
        ThirdCylOff, Отключение трётьего поршня
        TurbinePressure, Измеренное давление воздуха после турбокомпрессора
        NominalTurbinePressure, Задаваемое (номинальное) давление, создаваемого турбокомпрессором
        TurbineCycleRatio, ЦСО электроклапана давления в турбокомпрессоре
        AtmosphericPressure, Атмосферное давление
        WaterTemperature, Температура воды
        AirTemperature, Температура воздуха
        FuelTemperature, Температура топлива
        ExhaustRecirculationGateCycle, ЦСО электроклапана заслонки системы РВГ
        BatteryVoltage, Напряжение аккумулятора
        Sensor1Voltage, Напряжение в цепи питания датчиков 1 (кулачковые валы)
        Sensor2Voltage, Напряжение в цепи питания датчиков 1 (другое)
        PreHeatRelay, Реле предпускового/последующего подогрева
        ConditioningCutOffRequest, Запрос на выключение климат-контроля
        RelayLowSpeedVent, Реле малой скорости группы вентилятора охлаждения двигателя
        SpeedVent, Реле высокой скорости группы вентилятора охлаждения двигателя
        InjectionTime, Время впрыска
        InjectionOffWhenSlowdown, Выключение системы впрыска при снижении ускорения
